node_number,Latitude,Longitude
270,38.14961,-120.814973
271,37.79657,-122.281208
272,37.79657,-122.281208
273,37.79657,-122.281208
274,35.956473,-120.851068
275,37.411132,-121.92715
276,34.468444,-119.884303
277,32.717669,-117.251797
278,34.483307,-120.042429
279,34.477242,-120.128384
280,34.431129,-119.911791
281,33.780365,-118.240141
282,33.780365,-118.240141
283,33.780365,-118.240141
284,34.040942,-117.821521
285,35.034988,-117.701274
286,33.879463,-118.256192
287,33.976054,-118.147845
288,33.764254,-118.224683
289,33.764254,-118.224683
290,33.764254,-118.224683
291,33.764254,-118.224683
292,34.000735,-118.378409
293,34.57925,-118.118454
294,34.579225,-118.118454
295,33.0452,-117.12817
296,33.0452,-117.12817
297,34.20816,-119.246872
298,35.008538,-120.453066
299,34.035526,-118.111404
300,32.843343,-117.161373
301,34.063419,-117.652869
302,33.89209,-117.580268
303,33.854793,-117.453898
304,33.862163,-117.613363
305,33.892254,-117.580794
306,34.063436,-117.652869
307,34.063451,-117.652869
308,34.150767,-118.723708
309,34.280128,-118.863873
310,34.469768,-119.058208
311,32.876094,-117.165383
312,34.005415,-117.562765
313,34.091108,-117.528331
314,34.091108,-117.528331
315,34.794685,-118.511628
316,34.045552,-118.128839
317,32.704944,-117.219257
318,32.679994,-117.122073
319,33.359112,-117.111139
320,33.359112,-117.111139
321,33.932048,-117.840182
322,33.932048,-117.840182
323,33.917745,-117.749293
324,33.924905,-117.955124
325,33.932048,-117.840182
326,40.6,-122.0167
327,37.098553,-121.047872
328,37.098553,-121.047872
329,37.098553,-121.047872
330,37.098553,-121.047872
331,37.098553,-121.047872
332,37.098553,-121.047872
333,39.499787,-121.562619
334,39.029589,-120.750385
335,37.479403,-122.406719
336,36.97656,-122.106066
337,36.992254,-121.982133
338,38.311,-121.837
339,37.889,-120.544
340,37.997869,-120.317539
341,36.832555,-119.326854
342,36.832555,-119.326854
343,36.832555,-119.326854
344,40.986031,-121.977722
345,38.77161,-120.81305
346,38.783431,-120.778473
347,37.467473,-122.127637
348,38.822119,-121.306478
349,36.651373,-120.584436
350,36.651373,-120.584436
351,36.651373,-120.584436
352,36.651373,-120.584436
353,38.833726,-122.881171
354,36.616607,-120.099328
355,36.616607,-120.099328
356,36.616607,-120.099328
357,36.908939,-119.087647
358,36.919596,-119.022874
359,36.919596,-119.022874
360,36.999357,-121.536255
361,38.762673,-122.691817
362,37.16205,-119.256808
363,37.16205,-119.256808
364,37.16205,-119.256808
365,37.16205,-119.256808
366,37.16205,-119.256808
367,37.16205,-119.256808
368,37.16205,-119.256808
369,37.16205,-119.256808
370,37.16205,-119.256808
371,37.16205,-119.256808
372,37.16205,-119.256808
