MYDATE,HOUR,NODE_ID,MW
1/11/2012,17,S1,10.93358599
1/11/2012,18,N1,-0.793484076
1/11/2012,18,S1,10.28938854
1/11/2012,19,N1,4.581143312
1/11/2012,19,S1,9.757041401
1/11/2012,20,N1,16.18003185
1/11/2012,20,S1,15.01571975
1/11/2012,21,N1,16.4998121
1/11/2012,21,S1,13.66162739
1/11/2012,22,N1,17.25970064
1/11/2012,22,S1,14.57745541
1/11/2012,23,N1,13.83083758
1/11/2012,23,S1,12.3574586
1/11/2012,24,N1,11.74159554
1/11/2012,24,S1,8.395621019
1/12/2012,1,N1,5.023394904
1/12/2012,1,S1,6.263971338
1/12/2012,2,N1,8.761079618
1/12/2012,2,S1,6.098582803
1/12/2012,3,N1,19.16194268
1/12/2012,3,S1,12.49190127
1/12/2012,4,N1,24.50264968
1/12/2012,4,S1,25.69174841
1/12/2012,5,N1,24.10174522
1/12/2012,5,S1,35.55129618
1/12/2012,6,N1,9.597098726
1/12/2012,6,S1,19.37448089
1/12/2012,7,N1,5.013643312
1/12/2012,7,S1,15.09887261
1/12/2012,8,N1,1.154770701
1/12/2012,8,S1,8.951248408
1/12/2012,9,N1,-1.618458599
1/12/2012,9,S1,5.307175159
1/12/2012,10,N1,-1.793420382
1/12/2012,10,S1,14.10926433
1/12/2012,11,N1,-0.800245223
1/12/2012,11,S1,29.97569108
1/12/2012,12,N1,12.55711146
1/12/2012,12,S1,25.70476115
1/12/2012,13,N1,33.98141401
1/12/2012,13,S1,19.86160828
1/12/2012,14,N1,0.702799363
1/12/2012,14,S1,13.43271019
1/12/2012,15,N1,0.991095541
1/12/2012,15,S1,5.814159236
1/12/2012,16,N1,6.506041401
1/12/2012,16,S1,4.485159236
1/12/2012,17,N1,1.438710191
1/12/2012,17,S1,3.646356688
1/12/2012,18,N1,34.97168471
1/12/2012,18,S1,0.918468153
1/12/2012,19,N1,35.48915287
1/12/2012,19,S1,1.014783439
1/12/2012,20,N1,24.27441083
1/12/2012,20,S1,4.847302548
1/12/2012,21,N1,31.00551592
1/12/2012,21,S1,9.969105096
1/12/2012,22,N1,40.26971019
1/12/2012,22,S1,15.82810191
1/12/2012,23,N1,46.92892994
1/12/2012,23,S1,5.772980892
1/12/2012,24,N1,165.6315637
1/12/2012,24,S1,5.16772293
1/14/2012,1,N1,34.82117516
1/14/2012,1,S1,288.1882643
1/14/2012,2,N1,30.4115414
1/14/2012,2,S1,247.8823025
1/14/2012,3,N1,28.38000637
1/14/2012,3,S1,246.4716401
1/14/2012,4,N1,30.59024522
1/14/2012,4,S1,298.2732134
1/14/2012,5,N1,24.13843949
1/14/2012,5,S1,308.7662452
1/14/2012,6,N1,24.68689809
1/14/2012,6,S1,342.9979331
1/14/2012,7,N1,27.83432803
1/14/2012,7,S1,476.6170828
1/14/2012,8,N1,19.56304777
1/14/2012,8,S1,508.6747484
1/14/2012,9,N1,18.57460828
1/14/2012,9,S1,502.4067962
1/14/2012,10,N1,12.74816242
1/14/2012,10,S1,234.3228344
1/14/2012,11,N1,5.857022293
1/14/2012,11,S1,48.58580892
1/14/2012,12,N1,12.7631879
1/14/2012,12,S1,132.0778439
1/14/2012,13,N1,8.097401274
1/14/2012,13,S1,59.02820382
1/14/2012,14,N1,6.88455414
1/14/2012,14,S1,72.26879936
1/14/2012,15,N1,25.96705096
1/14/2012,15,S1,84.13352229
1/14/2012,16,N1,57.94775159
1/14/2012,16,S1,118.4357707
1/14/2012,17,N1,67.39547452
1/14/2012,17,S1,166.3542803
1/14/2012,18,N1,166.8371019
1/14/2012,18,S1,175.8694076
1/14/2012,19,N1,160.0189841
1/14/2012,19,S1,229.0317229
1/14/2012,20,N1,146.9935796
1/14/2012,20,S1,265.6389841
1/14/2012,21,N1,103.3750414
1/14/2012,21,S1,360.7889427
1/14/2012,22,N1,68.83500955
1/14/2012,22,S1,287.6594459
1/14/2012,23,N1,76.09826115
1/14/2012,23,S1,203.5266115
1/15/2012,1,N1,84.60823248
1/15/2012,1,S1,210.2111115
1/15/2012,2,N1,63.36643631
1/15/2012,2,S1,233.485449
1/15/2012,3,N1,90.26329618
1/15/2012,3,S1,287.2278567
1/15/2012,4,N1,77.55990127
1/15/2012,4,S1,327.2548471
1/15/2012,5,N1,58.25496497
1/15/2012,5,S1,428.2411783
1/15/2012,6,N1,55.87582803
1/15/2012,6,S1,520.6700732
1/15/2012,7,N1,56.04579299
1/15/2012,7,S1,646.6665764
1/15/2012,8,N1,32.8536879
1/15/2012,8,S1,605.6460478
1/15/2012,9,N1,26.9650828
1/15/2012,9,S1,627.8847197
1/15/2012,10,N1,30.08501911
1/15/2012,10,S1,613.9180446
1/15/2012,11,N1,37.74291083
1/15/2012,11,S1,663.1978503
1/15/2012,12,N1,48.88179299
1/15/2012,12,S1,573.9372643
1/15/2012,13,N1,52.18064013
1/15/2012,13,S1,461.6591783
1/15/2012,14,N1,40.00858917
1/15/2012,14,S1,398.6429395
1/15/2012,15,N1,28.52234395
1/15/2012,15,S1,350.8792516
1/15/2012,16,N1,29.36590446
1/15/2012,16,S1,378.2095796
1/15/2012,17,N1,15.15106369
1/15/2012,17,S1,398.0099522
1/15/2012,18,N1,23.14675478
1/15/2012,18,S1,399.2993726
1/15/2012,19,N1,31.45977707
1/15/2012,19,S1,422.1480032
1/15/2012,20,N1,21.13401911
1/15/2012,20,S1,420.8443981
1/15/2012,21,N1,19.6526465
1/15/2012,21,S1,392.251258
1/15/2012,22,N1,22.73466561
1/15/2012,22,S1,352.0449745
1/15/2012,23,N1,22.19852548
1/15/2012,23,S1,171.3625287
1/16/2012,2,N1,25.96767197
1/16/2012,2,S1,134.2626306
1/16/2012,3,N1,27.98939809
1/16/2012,3,S1,106.330051
1/16/2012,4,N1,48.42807006
1/16/2012,4,S1,171.3993121
1/16/2012,5,N1,52.9169172
1/16/2012,5,S1,207.556914
1/16/2012,6,N1,30.92057962
1/16/2012,6,S1,162.9478599
1/16/2012,7,N1,43.79892675
1/16/2012,7,S1,137.8583312
1/16/2012,8,N1,59.07896815
1/16/2012,8,S1,170.0388503
1/16/2012,9,N1,119.0668631
1/16/2012,9,S1,73.65693949
1/16/2012,10,N1,92.60150637
1/16/2012,10,S1,62.31371338
1/16/2012,11,N1,105.1575541
1/16/2012,11,S1,91.96349363
1/16/2012,12,N1,58.78706369
1/16/2012,12,S1,134.4166019
1/16/2012,13,N1,38.97616879
1/16/2012,13,S1,231.0491688
1/16/2012,14,N1,25.12504777
1/16/2012,14,S1,255.6077898
1/16/2012,15,N1,38.40429299
1/16/2012,15,S1,223.7159904
1/16/2012,16,N1,56.61898408
1/16/2012,16,S1,221.8112261
1/16/2012,17,N1,35.76017516
1/16/2012,17,S1,226.0512771
1/16/2012,18,N1,38.14156051
1/16/2012,18,S1,276.8877834
1/16/2012,19,N1,41.08836943
1/16/2012,19,S1,327.0632389
1/16/2012,20,N1,28.25753185
1/16/2012,20,S1,298.7255446
1/16/2012,21,N1,26.92950637
1/16/2012,21,S1,228.1302229
1/16/2012,22,N1,24.64863376
1/16/2012,22,S1,161.4078949
1/16/2012,23,N1,36.56179936
1/16/2012,23,S1,98.60717834
1/17/2012,1,N1,15.01235669
1/17/2012,1,S1,3.732283439
1/17/2012,2,N1,11.32365287
1/17/2012,2,S1,0.747302548
1/17/2012,3,N1,14.27324841
1/17/2012,3,S1,5.812449045
1/17/2012,4,N1,24.08680573
1/17/2012,4,S1,22.38045541
1/17/2012,5,N1,22.53219427
1/17/2012,5,S1,18.38900955
1/17/2012,6,N1,40.83776115
1/17/2012,6,S1,12.33908917
1/17/2012,7,N1,75.27334713
1/17/2012,7,S1,57.55046815
1/17/2012,8,N1,63.34414331
1/17/2012,8,S1,24.60539809
1/17/2012,9,N1,46.05845541
1/17/2012,9,S1,3.99022293
1/17/2012,10,N1,35.72348726
1/17/2012,10,S1,2.374863057
1/17/2012,11,N1,40.37078025
1/17/2012,11,S1,6.982503185
1/17/2012,12,N1,30.69443312
1/17/2012,12,S1,4.474359873
1/17/2012,13,N1,26.06002866
1/17/2012,13,S1,1.140369427
1/17/2012,14,N1,37.5565414
1/17/2012,14,S1,5.226213376
1/17/2012,15,N1,43.85638535
1/17/2012,15,S1,13.62805096
1/17/2012,16,N1,78.64980573
1/17/2012,16,S1,18.37024522
1/17/2012,17,N1,67.37987261
1/17/2012,17,S1,21.23839809
1/17/2012,18,N1,67.07087261
1/17/2012,18,S1,93.28903822
1/17/2012,19,N1,41.56946178
1/17/2012,19,S1,64.82824841
1/17/2012,20,N1,25.28272611
1/17/2012,20,S1,41.71142675
1/17/2012,21,N1,75.20205096
1/17/2012,21,S1,36.24874204
1/17/2012,22,N1,87.49349682
1/17/2012,22,S1,32.73942038
1/17/2012,23,N1,79.23071975
1/17/2012,23,S1,37.28790127
1/18/2012,1,N1,32.79234713
1/18/2012,1,S1,73.58994904
1/18/2012,2,N1,12.64269745
1/18/2012,2,S1,79.93316242
1/18/2012,3,N1,5.92855414
1/18/2012,3,S1,77.53673885
1/18/2012,4,N1,39.82416561
1/18/2012,4,S1,99.52042675
1/18/2012,5,N1,18.63186306
1/18/2012,5,S1,64.77724522
1/18/2012,6,N1,1.500624204
1/18/2012,6,S1,71.78565605
1/18/2012,7,N1,15.31557962
1/18/2012,7,S1,124.7455318
1/18/2012,8,N1,15.77501592
1/18/2012,8,S1,145.7047516
1/18/2012,9,N1,13.27742038
1/18/2012,9,S1,157.9460828
1/18/2012,10,N1,11.21617197
1/18/2012,10,S1,203.1694427
1/18/2012,11,N1,11.97429936
1/18/2012,11,S1,195.9413662
1/18/2012,12,N1,25.34266879
1/18/2012,12,S1,380.4306146
1/18/2012,13,N1,19.83146178
1/18/2012,13,S1,401.0094268
1/18/2012,14,N1,22.61616561
1/18/2012,14,S1,460.8721338
1/18/2012,15,N1,17.31281847
1/18/2012,15,S1,472.2617452
1/18/2012,16,N1,6.198321656
1/18/2012,16,S1,398.9202866
1/18/2012,17,N1,4.827929936
1/18/2012,17,S1,349.1413631
1/18/2012,18,N1,6.014079618
1/18/2012,18,S1,283.710742
1/18/2012,19,N1,6.482111465
1/18/2012,19,S1,244.7833439
1/18/2012,20,N1,5.272165605
1/18/2012,20,S1,198.7972834
1/18/2012,21,N1,2.899729299
1/18/2012,21,S1,153.3511083
1/18/2012,22,N1,2.847707006
1/18/2012,22,S1,154.088828
1/18/2012,23,N1,2.536140127
1/18/2012,23,S1,122.2690255
1/19/2012,1,N1,-1.588210191
1/19/2012,1,S1,42.40648089
1/19/2012,2,N1,6.640050955
1/19/2012,2,S1,59.46633758
1/19/2012,3,N1,37.3686465
1/19/2012,3,S1,142.5775191
1/19/2012,4,N1,56.50202229
1/19/2012,4,S1,188.3295637
1/19/2012,5,N1,76.74556369
1/19/2012,5,S1,127.6287866
1/19/2012,6,N1,129.1563694
1/19/2012,6,S1,75.90754459
1/19/2012,7,N1,245.8676592
1/19/2012,7,S1,23.59133121
1/19/2012,8,N1,265.598035
1/19/2012,8,S1,8.79266242
1/19/2012,9,N1,228.898449
1/19/2012,9,S1,7.811646497
1/19/2012,10,N1,259.544414
1/19/2012,10,S1,7.184748408
1/19/2012,16,N1,101.303949
